,author,title,date
1,Felix Salten,Bambi,1923
2,Felix Salten,Bambis Kinder,1940
3,Felix Salten,Der alte Narr,1918
4,Felix Salten,Der Schrei der Liebe,1905
5,Felix Salten,Die Geliebte Friedrichs des Schönen,1908
6,Felix Salten,Florian. Das Pferd des Kaisers,1933
7,Felix Salten,Freunde aus aller Welt.,1931
8,Felix Salten,Fünfzehn Hasen,1929
9,Felix Salten,Herr Wenzel auf Rehberg und sein Knecht Kaspar Dinckel,1907
10,Felix Salten,Kaiser Max der letzte Ritter,1913
11,Felix Salten,Olga Frohgemuth,1910
12,Felix Salten,Wurstelprater,1911
13,Arthur Schnitzler,Flucht in die Finst…,1931
14,Arthur Schnitzler,Therese,1928
15,Arthur Schnitzler,Spiel im Morgengrau…,1927
16,Arthur Schnitzler,Traumnovelle,1926
17,Arthur Schnitzler,Die Frau des Richte…,1925
18,Arthur Schnitzler,Fräulein Else,1924
19,Arthur Schnitzler,Die Hirtenflöte,1922
20,Arthur Schnitzler,Casanovas Heimfahrt,1918
21,Arthur Schnitzler,"Doktor Gräsler, Bad…",1917
22,Arthur Schnitzler,Frau Beate und ihr …,1913
23,Arthur Schnitzler,Der Weg ins Freie,1908
24,Arthur Schnitzler,Der Ruf des Lebens,1906
25,Arthur Schnitzler,Zwischenspiel,1906
26,Arthur Schnitzler,Marionetten,1906
27,Arthur Schnitzler,Der einsame Weg,1904
28,Arthur Schnitzler,Reigen,1903
29,Arthur Schnitzler,Der Schleier der Be…,1901
30,Arthur Schnitzler,Leutnant Gustl,1901
31,Arthur Schnitzler,Frau Berta Garlan,1901
32,Arthur Schnitzler,Paracelsus,1899
33,Arthur Schnitzler,Die Gefährtin,1899
34,Arthur Schnitzler,Der grüne Kakadu,1899
35,Arthur Schnitzler,Der Sohn,1899
36,Arthur Schnitzler,Die Frau des Weisen,1898
37,Arthur Schnitzler,Liebelei,1896
38,Arthur Schnitzler,Er wartet auf den v…,1895
39,Arthur Schnitzler,Der Fürst ist im Ha…,1895
40,Arthur Schnitzler,Welch eine Melodie,1895
41,Arthur Schnitzler,Erbschaft,1895
42,Arthur Schnitzler,Gespräch in der Kaf…,1895
43,Arthur Schnitzler,Albine,1895
44,Arthur Schnitzler,Reichtum,1895
45,Arthur Schnitzler,Frühlingsnacht im S…,1895
46,Arthur Schnitzler,Amerika,1895
47,Arthur Schnitzler,Mein Freund Ypsilon,1895
48,Arthur Schnitzler,Die Braut,1895
49,Arthur Schnitzler,Der Andere,1895
50,Arthur Schnitzler,Anatol,1893
51,Arthur Schnitzler,Sterben,1892
52,Arthur Schnitzler,Die drei Elixiere,1890
53,Hugo von Hofmannsthal,Der Unbestechliche,1923
54,Hugo von Hofmannsthal,Der Schwierige,1921
55,Hugo von Hofmannsthal,Die Frau ohne Schat…,1919
56,Hugo von Hofmannsthal,Ariadne auf Naxos,1912
57,Hugo von Hofmannsthal,Jedermann,1911
58,Hugo von Hofmannsthal,Der Rosenkavalier,1911
59,Hugo von Hofmannsthal,Elektra,1911
60,Hugo von Hofmannsthal,Lucidor,1910
61,Hugo von Hofmannsthal,Florindo und die Un…,1909
62,Hugo von Hofmannsthal,Ein Brief,1902
63,Hugo von Hofmannsthal,Die Briefe des Zurü…,1901
64,Hugo von Hofmannsthal,Erlebnis des Marsch…,1900
65,Hugo von Hofmannsthal,Der Kaiser und die …,1900
66,Hugo von Hofmannsthal,Reitergeschichte,1899
67,Hugo von Hofmannsthal,Der Abenteurer und …,1899
68,Hugo von Hofmannsthal,Das Märchen der 672…,1895
69,Hugo von Hofmannsthal,Der Tor und der Tod,1893
70,Hugo von Hofmannsthal,Tod des Tizian,1892
71,Peter Altenberg,Wiens Hygiene,1919
72,Peter Altenberg,Pleite,1919
73,Peter Altenberg,Ort Altenberg,1919
74,Peter Altenberg,Meine Films,1919
75,Peter Altenberg,Die »Gelsen«,1919
76,Peter Altenberg,Mein Gmunden,1919
77,Peter Altenberg,Heimat,1918
78,Peter Altenberg,Interessante Alpenp…,1918
79,Peter Altenberg,Trinkgelder,1918
80,Peter Altenberg,Das Personal,1918
81,Peter Altenberg,Landgasthaus,1918
82,Peter Altenberg,Musterschutz,1918
83,Peter Altenberg,Sommerreise,1918
84,Peter Altenberg,Das Reisen,1918
85,Peter Altenberg,Zimmereinrichtung,1918
86,Peter Altenberg,Der Sommer,1918
87,Peter Altenberg,Kaffeehaus,1918
88,Peter Altenberg,Landeindrücke,1918
89,Peter Altenberg,Das Waldhotel,1918
90,Peter Altenberg,Weshalb ich nicht a…,1918
91,Peter Altenberg,Moderne Hotelleitung,1918
92,Peter Altenberg,Meine Ideale,1916
93,Peter Altenberg,Nachmittag in den B…,1916
94,Peter Altenberg,Gussy Holl,1916
95,Peter Altenberg,Baden bei Wien,1916
96,Peter Altenberg,Eisenhandlung. Wien,1916
97,Peter Altenberg,Journalistik,1916
98,Peter Altenberg,Wintersport,1916
99,Peter Altenberg,Landpartie und die …,1916
100,Peter Altenberg,Gespräch,1916
101,Peter Altenberg,Romantik der Namen,1916
102,Peter Altenberg,Volksgarten-Jungfrä…,1916
103,Peter Altenberg,Infektion,1916
104,Peter Altenberg,Schubert,1916
105,Peter Altenberg,Wirkliches Märchen,1916
106,Peter Altenberg,Alm,1916
107,Peter Altenberg,Die Kindheit,1916
108,Peter Altenberg,Tramway-Szene zehn …,1916
109,Peter Altenberg,Der Ort K. nächst W…,1916
110,Peter Altenberg,Dienstboten,1916
111,Peter Altenberg,Aus der »Briefsamml…,1916
112,Peter Altenberg,Der »Koberer« (Kupp…,1915
113,Peter Altenberg,Jause,1915
114,Peter Altenberg,Apollotheater,1915
115,Peter Altenberg,Onkel Emmerich,1915
116,Peter Altenberg,Onkel Max,1915
117,Peter Altenberg,Die Auffassung,1915
118,Peter Altenberg,Die Kundschaft,1915
119,Peter Altenberg,Café Capua,1915
120,Peter Altenberg,Stammtisch,1915
121,Peter Altenberg,Semmering-Photograv…,1915
122,Peter Altenberg,Sport,1915
123,Peter Altenberg,Vergnügungslokal,1915
124,Peter Altenberg,Tabarin,1915
