"Josefine_Mutzenbacher_1" "Josefine_Mutzenbacher_2" "Josefine_Mutzenbacher_3" "Josefine_Mutzenbacher_4" "Josefine_Mutzenbacher_5" "Josefine_Mutzenbacher_6" "Josefine_Mutzenbacher_7" "Josefine_Mutzenbacher_8" "Josefine_Mutzenbacher_9" "Josefine_Mutzenbacher_10" "Josefine_Mutzenbacher_11" "Josefine_Mutzenbacher_12" "Josefine_Mutzenbacher_13" "Josefine_Mutzenbacher_14" "Josefine_Mutzenbacher_15" "Josefine_Mutzenbacher_16" "Josefine_Mutzenbacher_17" "Josefine_Mutzenbacher_18" "Josefine_Mutzenbacher_19" "Josefine_Mutzenbacher_20" "Josefine_Mutzenbacher_21" "Josefine_Mutzenbacher_22" "Josefine_Mutzenbacher_23" "Josefine_Mutzenbacher_24" "Josefine_Mutzenbacher_25" "Josefine_Mutzenbacher_26" "Josefine_Mutzenbacher_27" "Josefine_Mutzenbacher_28" "Josefine_Mutzenbacher_29" "Josefine_Mutzenbacher_30" "Josefine_Mutzenbacher_31" "Josefine_Mutzenbacher_32" "Josefine_Mutzenbacher_33" "Josefine_Mutzenbacher_34" "Josefine_Mutzenbacher_35" "Josefine_Mutzenbacher_36" "Josefine_Mutzenbacher_37" "Josefine_Mutzenbacher_38" "Josefine_Mutzenbacher_39" "Josefine_Mutzenbacher_40" "Josefine_Mutzenbacher_41" "Josefine_Mutzenbacher_42" "Josefine_Mutzenbacher_43" "Josefine_Mutzenbacher_44" "Josefine_Mutzenbacher_45" "Josefine_Mutzenbacher_46" "Josefine_Mutzenbacher_47" "Josefine_Mutzenbacher_48" "Josefine_Mutzenbacher_49" "Josefine_Mutzenbacher_50" "Josefine_Mutzenbacher_51" "Josefine_Mutzenbacher_52" "Josefine_Mutzenbacher_53" "Josefine_Mutzenbacher_54" "Josefine_Mutzenbacher_55" "Josefine_Mutzenbacher_56" "Josefine_Mutzenbacher_57" "Josefine_Mutzenbacher_58" "Josefine_Mutzenbacher_59" "Josefine_Mutzenbacher_60" "Josefine_Mutzenbacher_61" "Josefine_Mutzenbacher_62" "Josefine_Mutzenbacher_63" "Josefine_Mutzenbacher_64" "Josefine_Mutzenbacher_65" "Josefine_Mutzenbacher_66" "Josefine_Mutzenbacher_67" "Josefine_Mutzenbacher_68" "Josefine_Mutzenbacher_69" "Josefine_Mutzenbacher_70" "Josefine_Mutzenbacher_71" "Josefine_Mutzenbacher_72" "Josefine_Mutzenbacher_73" "Josefine_Mutzenbacher_74" "Josefine_Mutzenbacher_75" "Josefine_Mutzenbacher_76" "Josefine_Mutzenbacher_77" "Josefine_Mutzenbacher_78" "Josefine_Mutzenbacher_79" "Josefine_Mutzenbacher_80" "Josefine_Mutzenbacher_81" "Josefine_Mutzenbacher_82" "Josefine_Mutzenbacher_83" "Josefine_Mutzenbacher_84" "Josefine_Mutzenbacher_85" "Josefine_Mutzenbacher_86" "Josefine_Mutzenbacher_87" "Josefine_Mutzenbacher_88" "Josefine_Mutzenbacher_89" "Josefine_Mutzenbacher_90" "Josefine_Mutzenbacher_91" "Josefine_Mutzenbacher_92" "Josefine_Mutzenbacher_93" "Josefine_Mutzenbacher_94" "Josefine_Mutzenbacher_95" "Josefine_Mutzenbacher_96" "Josefine_Mutzenbacher_97" "Josefine_Mutzenbacher_98" "Josefine_Mutzenbacher_99" "Josefine_Mutzenbacher_100" "Josefine_Mutzenbacher_101" "Josefine_Mutzenbacher_102" "Josefine_Mutzenbacher_103" "Josefine_Mutzenbacher_104" "Josefine_Mutzenbacher_105" "Josefine_Mutzenbacher_106" "Josefine_Mutzenbacher_107" "Josefine_Mutzenbacher_108" "Josefine_Mutzenbacher_109" "Josefine_Mutzenbacher_110" "Josefine_Mutzenbacher_111" "Josefine_Mutzenbacher_112" "Josefine_Mutzenbacher_113" "Josefine_Mutzenbacher_114" "Josefine_Mutzenbacher_115" "Josefine_Mutzenbacher_116" "Josefine_Mutzenbacher_117" "Josefine_Mutzenbacher_118" "Josefine_Mutzenbacher_119" "Josefine_Mutzenbacher_120" "Josefine_Mutzenbacher_121" "Josefine_Mutzenbacher_122" "Josefine_Mutzenbacher_123" "Josefine_Mutzenbacher_124" "Josefine_Mutzenbacher_125"
"und" 4.9 5.12 5.26 5.22 5.18 5.34 5.24 5.16 4.98 4.82 4.8 4.74 4.56 4.5 4.66 4.34 4.28 4.26 4.48 4.4 4.3 4.22 4.18 3.88 3.7 3.82 3.88 3.96 3.84 3.8 3.76 3.8 3.94 4.2 4.1 4.08 4.1 3.98 3.96 4.08 4.14 4.02 3.9 3.68 3.7 3.56 3.4 3.46 3.34 3.3 3.28 3.46 3.42 3.5 3.6 3.58 3.68 3.72 3.72 3.94 3.86 3.7 3.72 3.66 3.66 3.86 3.9 3.96 4.08 3.84 4.1 4.16 4.14 4.14 3.94 3.82 3.78 3.56 3.6 3.56 3.38 3.38 3.36 3.54 3.6 3.56 3.54 3.56 3.3 3.26 3.26 3.34 3.5 3.38 3.48 3.8 3.82 4 4.16 4.2 4.3 4.34 4.36 4.38 4.32 4.02 4.18 3.84 3.8 3.82 3.68 3.56 3.28 3.2 3.14 3.22 3.08 3.22 3.18 3.22 3.18 3.28 3.54 3.64 3.72
"die" 2.38 2.32 2.18 2.18 2.02 2.14 2.22 2.12 1.98 1.9 1.68 1.58 1.56 1.62 1.78 1.54 1.54 1.5 1.64 1.74 1.7 1.68 1.72 1.72 1.68 1.72 1.66 1.72 1.8 1.78 1.94 2.02 1.94 1.82 1.88 2.06 2.22 2.24 2.08 2 1.88 1.76 1.82 1.76 1.66 1.68 1.64 1.7 1.64 1.82 2.02 2.22 2.28 2.42 2.46 2.48 2.34 2.3 2.46 2.28 2.1 1.98 1.86 1.78 1.84 1.84 1.88 1.86 1.76 1.82 1.9 2 2.18 2.26 2.2 2.2 2.06 1.9 1.9 1.9 1.74 1.68 1.6 1.56 1.6 1.44 1.5 1.5 1.58 1.5 1.54 1.86 1.88 1.84 1.7 1.66 1.7 1.72 1.88 2 2.16 1.8 1.74 1.78 1.86 2 2.18 2.12 1.82 2.02 1.96 1.98 2.02 2.06 1.94 2 2 2.08 2.18 1.82 1.64 1.68 1.54 1.42 1.52
"sie" 1.62 1.6 1.74 1.78 1.74 1.84 1.94 2.02 1.92 1.66 1.48 1.36 1.2 1.28 1.46 1.42 1.48 1.62 1.82 2.12 2.12 2.12 2.2 2.14 2.06 1.84 1.52 1.5 1.54 1.56 1.9 2.12 2.28 2.1 2.16 2.4 2.76 2.66 2.6 2.34 2.14 1.96 1.7 1.74 1.6 1.54 1.72 2.08 2.06 2.26 2.48 2.62 2.92 3.18 3.22 3.06 2.5 1.94 1.9 1.64 1.26 1.12 0.88 0.58 0.72 0.64 0.84 1 1.2 1.26 1.32 1.42 1.54 1.6 1.26 1.4 1.22 1.16 0.86 0.86 0.88 0.88 0.9 0.9 0.88 0.82 0.86 0.8 0.94 0.94 1.02 1.26 1.28 1.44 1.64 1.86 2.2 2.36 2.48 2.6 2.46 2.12 2.12 2.22 2.24 2.22 1.98 1.96 2.26 2.22 2.5 2.68 2.84 2.66 2.68 2.5 2.52 2.5 1.94 1.82 1.6 1.52 1.48 1.4 1.2
"der" 1.5 1.32 1.22 1.18 1.18 1.32 1.3 1.26 1.24 1.14 1.12 1.2 1.3 1.34 1.44 1.32 1.3 1.3 1.26 1.36 1.44 1.38 1.26 1.32 1.46 1.44 1.42 1.6 1.66 1.68 1.6 1.6 1.64 1.56 1.34 1.34 1.38 1.34 1.32 1.28 1.34 1.32 1.3 1.32 1.22 1.18 0.98 0.84 0.84 0.74 0.72 0.78 0.76 0.8 0.9 1.06 1.2 1.3 1.28 1.44 1.54 1.52 1.58 1.58 1.56 1.54 1.64 1.7 1.8 1.76 1.7 1.7 1.78 1.92 2.06 2.04 1.96 1.98 1.88 1.72 1.7 1.78 1.76 1.7 1.52 1.42 1.3 1.26 1.32 1.36 1.46 1.4 1.36 1.4 1.54 1.56 1.7 1.68 1.84 2 1.94 1.88 1.92 1.68 1.5 1.42 1.4 1.3 1.14 1.02 1.06 1.02 0.86 0.94 1.16 1.16 1.22 1.4 1.46 1.54 1.52 1.68 1.76 1.82 1.7
"er" 1.34 1.6 1.52 1.62 1.76 1.9 2.02 2.06 2.4 2.5 2.58 2.72 2.94 3 2.94 2.98 3.02 2.9 2.64 2.4 2.52 2.48 2.44 2.46 2.36 2.44 2.54 2.58 2.72 2.72 2.34 2.16 2.14 2.24 2.4 2.24 1.94 2.04 1.96 2.08 2.5 2.76 2.88 2.64 2.68 2.68 2.68 2.64 2.62 2.58 2.22 2.08 1.84 1.88 1.8 1.68 1.8 1.88 2.06 2.16 2.26 2.3 2.58 2.7 2.64 3 2.96 3.1 2.82 2.84 3.08 3.18 3.14 3.12 3.22 2.94 3.28 3.42 3.78 3.9 3.78 3.8 3.7 3.7 3.88 4.28 4.06 3.8 3.52 3.62 3.6 3.3 3.1 3.06 2.86 2.44 2.24 2.22 2.08 1.72 1.76 2.08 2.3 2.44 2.46 2.74 2.92 3.16 3.44 3.6 3.4 3.14 3.16 3.08 3.2 3.1 3.02 2.76 2.72 2.7 2.9 3.02 2.98 3 2.78
"ich" 2.74 2.7 2.72 2.6 2.6 2.34 2.1 2.14 2.34 2.74 3.08 3.4 3.66 3.72 3.74 3.92 4.16 4.24 4.22 4.16 4.22 3.98 3.82 3.9 4.06 4.32 4.36 4.16 3.8 3.64 3.4 3.32 3.06 3.3 3.1 2.78 2.42 2.46 3.04 3.28 3.44 3.54 3.88 3.66 4.04 4.24 4.5 4.56 4.22 3.86 3.54 3.52 3.5 3.34 3.08 3.02 3.36 3.48 3.62 3.92 4.2 4.22 4.06 4.2 4.32 4.48 4.38 4.44 4.42 4.36 4.28 4.3 4.2 4.08 4.12 3.96 3.94 3.86 4.04 4.34 4.6 4.52 4.82 4.98 5.2 5.62 5.86 5.9 5.6 5.6 5.2 5 4.76 4.68 4.36 4.06 3.66 3.28 3.12 2.62 2.88 3.16 3.3 3.18 3.22 3.24 3.14 3.66 3.78 3.68 3.48 3.28 3.26 3.42 3.28 3.18 3.22 3.28 3.6 4.14 4.52 5.24 5.54 5.9 6.08
"in" 1.52 1.42 1.34 1.36 1.36 1.5 1.44 1.32 1.32 1.3 1.14 1.06 1.02 0.98 1.04 0.96 1.08 1.12 1.1 1.04 1.12 1.16 1.2 1.18 1.1 1.1 0.98 1 1.04 1.08 1.02 1.04 1.18 1.22 1.16 1.18 1.24 1.3 1.38 1.5 1.48 1.46 1.38 1.44 1.5 1.46 1.36 1.2 1.02 0.88 0.96 0.92 0.82 0.72 0.68 0.74 0.84 0.92 0.88 0.9 0.88 0.86 0.84 0.86 0.9 0.78 0.72 0.72 0.8 0.82 0.84 0.9 0.96 0.92 0.88 0.96 0.96 0.92 0.88 0.82 0.82 0.84 0.84 0.84 0.88 0.82 0.86 0.88 0.94 1.02 0.96 0.96 0.9 1.02 1.06 1.12 1.1 1.1 1.06 1.12 1.26 1.22 1.2 1.06 0.96 0.98 1.1 1.18 1.22 1.14 0.96 0.94 0.98 1 1.08 1.08 0.96 0.84 0.92 0.86 0.84 0.8 0.7 0.7 0.82
"zu" 1.18 1.12 1.3 1.36 1.42 1.5 1.6 1.52 1.48 1.48 1.44 1.48 1.4 1.24 1.22 1.18 1.14 1.22 1.2 1.06 1.08 1.14 1.04 1 0.96 0.94 0.92 0.82 0.76 0.84 0.76 0.7 0.7 0.84 0.88 0.96 0.94 1.14 1.24 1.26 1.22 1.28 1.26 1.16 1.16 1.1 1.12 0.92 0.78 0.64 0.76 0.72 0.9 0.98 1.02 1.08 1.08 1.12 1.24 1.28 1.28 1.24 1.1 1.02 1 0.96 1.02 1.1 1.08 1.14 1.12 1.14 1.14 1.16 1.1 1.14 1.1 1.02 1.1 1.16 1.2 1.16 1.2 1.26 1.32 1.22 1.14 1.18 1.14 1.1 0.96 1.06 0.96 0.92 0.92 1.08 1.08 1.02 0.94 0.94 1.02 0.98 1.06 1.08 1.08 1.04 1.12 1.18 1.28 1.28 1.2 1.18 1.18 1.14 1.16 1.18 1.18 1.12 1.04 0.92 0.88 0.78 0.68 0.64 0.7
"das" 0.8 0.74 0.76 0.78 0.84 0.8 0.8 0.84 0.78 0.76 0.86 0.88 0.86 0.8 0.7 0.9 0.98 0.94 1.04 1.14 1.14 1.12 1.22 1.2 1.34 1.12 1.04 1.16 1.08 1.06 1 1 0.88 0.92 0.78 0.84 0.86 0.66 0.68 0.6 0.76 0.86 0.94 0.96 1.04 1.08 1.14 1.14 1.32 1.28 1.12 1.02 0.96 1.02 1 0.92 0.88 0.98 0.92 0.98 1 1.08 1.1 1.16 1.16 1.22 1.16 1.12 1 1.02 1.08 1.02 1.14 0.98 1.04 1.02 1.06 1 1 0.96 0.88 0.92 0.82 0.86 0.78 0.86 0.84 0.9 0.92 0.9 0.84 0.8 0.84 0.86 0.88 0.78 0.78 0.86 0.86 0.94 1.02 1.02 1 0.94 0.96 0.98 0.94 0.96 0.96 0.9 0.92 1 1.08 1.18 1.18 1.3 1.28 1.24 1.4 1.58 1.68 1.7 1.76 1.8 1.82
"nicht" 0.84 0.84 0.84 0.78 0.78 0.74 0.74 0.74 0.82 0.82 0.78 0.78 0.84 0.84 0.88 1.06 1.08 1.18 1.14 1.38 1.34 1.36 1.34 1.56 1.56 1.4 1.4 1.34 1.3 1.22 1.22 1.2 1.2 1.24 1.38 1.42 1.44 1.42 1.52 1.44 1.44 1.48 1.48 1.5 1.4 1.46 1.48 1.58 1.56 1.58 1.52 1.62 1.66 1.46 1.44 1.28 1.18 1.06 1.08 1 1.04 0.9 0.88 0.78 0.72 0.78 0.9 0.88 0.86 0.96 0.94 0.92 0.84 0.92 1.08 1.16 1.04 1.16 1.1 1.08 1.04 1.02 1.08 1 0.98 0.9 0.94 0.92 0.98 0.94 1 1.02 0.96 1 0.92 0.94 0.98 1 0.92 0.9 0.84 0.92 1.02 1.04 1.04 1 0.9 0.84 0.86 0.86 0.96 0.88 0.98 1.06 1.14 1.24 1.36 1.4 1.44 1.62 1.6 1.56 1.38 1.32 1.24
